"datetime","A","B","C","D","E","F","G","H","J","K","L","M","N","P"
"2023-01-01 00:00:00",2406.6,1976.8,2678.8,802,2042.6,1217.5,1896.2,3245.7,1909.3,529.3,1311.7,1578.9,1849.9,836.2
"2023-01-01 01:00:00",2276.2,1946.2,2611,820.1,2057.9,1163.7,1961.1,3180.8,1879.8,517.3,1295,1451.2,1752.1,757.5
"2023-01-01 02:00:00",2166.5,1833.3,2495.3,740.5,1934.3,1002.2,1839.6,3029.2,1812.1,501.3,1198.5,1396.7,1650.4,723.6
"2023-01-01 03:00:00",2052,1723.3,2385.3,729,1813.6,900.7,1889.1,2940,1772.3,479.7,1067.5,1360.6,1626.4,749
"2023-01-01 04:00:00",1959.3,1671.7,2320.9,694.6,1727.2,845.3,1733.7,2909.8,1724.7,478.4,949.7,1278.9,1616.4,702.1
"2023-01-01 05:00:00",1954.6,1659.9,2311.9,684.8,1686.9,881.3,1686.8,2866.8,1714.7,474.2,941.8,1241.7,1646.7,732.2
"2023-01-01 06:00:00",1988.3,1725.7,2341.5,759.5,1733.5,942.6,1891.6,2894.5,1743.5,472.6,999.1,1266,1680.5,762
"2023-01-01 07:00:00",2032.2,1803.6,2378.3,796.5,1830.2,1013.5,1935,3000.3,1801.6,470.5,1051.6,1336.1,1718.2,820.9
"2023-01-01 08:00:00",2091.9,1953.2,2442.1,878.4,1934.3,1061,1989.3,3101.2,1836.6,511.9,1135.3,1400.7,1739.9,846.2
"2023-01-01 09:00:00",2342.8,2154.1,2573.5,972.8,2132.8,1216.7,2163.2,3351.4,1987.8,575.9,1244.1,1627.8,1819.5,908.3
"2023-01-01 10:00:00",2589.7,2201.9,2752,1071.7,2333.1,1399.2,2320.1,3558,2088.8,674.2,1363,1866.4,1990.4,986.2
"2023-01-01 11:00:00",2815,2404.8,2897.5,1162.4,2543.3,1482.2,2476.1,3694.6,2179,780.6,1517.9,1955.2,2137.6,1067.2
"2023-01-01 12:00:00",2957.1,2597.4,2991,1209.4,2708.7,1555.2,2581.1,3853.4,2086.2,893.8,1644.2,2008.9,2248.9,1130.7
"2023-01-01 13:00:00",3047.9,2628.2,3039.5,1168.9,2744.6,1556.9,2583,3876.8,2031.8,860.1,1619.3,2016.1,2273.1,1163
"2023-01-01 14:00:00",3037.5,2581.4,3061.1,1191.7,2665.3,1489.1,2628,3880.5,2031.6,841.1,1599.5,2019.3,2282.1,1139.7
"2023-01-01 15:00:00",3119,2624.4,3094.9,1249.7,2710.9,1503,2668.7,3989,2028.4,868,1605.4,2147.8,2357,1142.7
"2023-01-01 16:00:00",3446.9,2765,3201,1344.4,2870.5,1626.8,2823,4148.2,2010.7,942.3,1750.9,2159.4,2506.3,1147.3
"2023-01-01 17:00:00",3638.1,2767.6,3244.6,1383.5,2921.8,1671.4,2814.9,4185.8,2035,1000.7,1843.4,2193.2,2488.4,1112.9
"2023-01-01 18:00:00",3519.5,2693.5,3241.9,1333.1,2820.7,1576.5,2733.1,4130.4,1981.7,1007.6,1771.7,2198.2,2355.4,1056.5
"2023-01-01 19:00:00",3366.7,2619.5,3181.1,1300.2,2672.8,1519.6,2683.5,4006.5,1895.2,960.5,1660.4,2105.4,2225.4,1049.8
"2023-01-01 20:00:00",3341.1,2562.2,3072.2,1220,2554.2,1541.4,2583.3,3822.1,1998.4,921.1,1531.6,2080.4,2131.2,1017.2
"2023-01-01 21:00:00",3218.5,2382,2957.2,1200.8,2381.4,1445.8,2488.8,3567.3,1828.3,902.9,1431.8,1929.4,2041.7,954.4
"2023-01-01 22:00:00",3052,2245.1,2817.5,1140.6,2195.4,1341.2,2292.5,3325.5,1775.9,803.8,1283.1,1764.8,1936.8,889.9
"2023-01-01 23:00:00",2805.4,2070.1,2700.5,1028.2,1981.5,1206.7,2078.9,3119.6,1790.7,743.7,1168.7,1612,1858.6,874.9
"2023-01-02 00:00:00",2905.5,2049.2,2574.8,971.3,2002,1194,1996,3154.2,1730.8,735.3,1353.1,1566,1759.2,798.7
"2023-01-02 01:00:00",2860.3,2066.8,2444,953.2,1997.2,1171.9,1928.4,3130.1,1675.8,731.5,1340.4,1597.7,1703.6,745.5
"2023-01-02 02:00:00",2613.9,1975.4,2356.3,903.6,1908,1124.5,1874.8,2984.3,1581,758.4,1275,1578.8,1602.4,708.5
"2023-01-02 03:00:00",2447.2,1867.6,2301.1,855.4,1818.2,1071,1802.1,2920.4,1523.6,747.2,1199.5,1556.6,1563.4,762.8
"2023-01-02 04:00:00",2383.8,1862.7,2300.2,850.5,1770.2,1008.8,1763.5,2893,1430.5,747.7,1147.5,1498.9,1535.1,786.2
"2023-01-02 05:00:00",2284,1921.4,2396,864.7,1811.1,1000.9,1743.6,2963.2,1536.7,780.3,1168.9,1485.4,1535.7,818.3
"2023-01-02 06:00:00",2451.7,2103.5,2577.3,968,1972.8,1094.4,1924.7,3122.2,1669,849.1,1286.1,1614.8,1649.2,867.9
"2023-01-02 07:00:00",2612.1,2234.4,2733.5,1070.7,2126.8,1222.2,2107.6,3306,1703.9,947.9,1382.2,1728.7,1778.7,923.8
"2023-01-02 08:00:00",2841.9,2437.5,2865.2,1204.8,2294.1,1324.8,2307.9,3451.4,1733.3,1054.9,1534.8,1869.6,1892.3,935.7
"2023-01-02 09:00:00",3219.4,2757.4,3021,1355.1,2592.9,1479.5,2564.9,3597.2,1829.5,1235.1,1720.7,2108.1,2069.8,1026
"2023-01-02 10:00:00",3541.6,3008.7,3155.2,1449.9,2782,1567,2728,3813,1885.4,1271,1695.3,2297.6,2171.9,1058.8
"2023-01-02 11:00:00",3845.5,3110.4,3252.7,1464,2835.8,1626.1,2840.6,4093.8,1862.7,1236.7,1667.1,2342.9,2182.7,1069.8
"2023-01-02 12:00:00",4078.5,3173.5,3335.7,1459.3,2861.4,1650,2929.5,4086.7,2100.1,1230.9,1721.2,2342.1,2192.9,1125.9
"2023-01-02 13:00:00",3951.9,3122.2,3368.5,1390.7,2873.1,1603.2,2885.8,4016.2,1931,1192.5,1778.7,2290.3,2144.4,1060.2
"2023-01-02 14:00:00",3678.3,3108.2,3380.4,1400.2,2862.7,1634.5,2887.8,4079.4,1862.1,1151.3,1810.5,2381.5,2115.2,1023.8
"2023-01-02 15:00:00",3727.9,3136.4,3426.1,1477.5,2919.5,1721.8,2976,4153.8,1891.6,1217.9,1766.1,2528.1,2225.6,1031.3
"2023-01-02 16:00:00",4036.6,3431.5,3579.7,1628.3,3185.1,1953.3,3132.2,4427.7,2144.1,1297.4,1937.2,2752.5,2427.5,1088.1
"2023-01-02 17:00:00",4359.4,3487.2,3713.1,1717.2,3391,2045.1,3150,4658.7,2380.1,1385.4,2130,2741.7,2444.5,1134
"2023-01-02 18:00:00",4334.3,3423.7,3704.1,1645,3278.3,1934.2,3028.4,4638.5,2358.7,1346.3,2061.8,2726.4,2360.7,1127
"2023-01-02 19:00:00",4163.3,3276.4,3587.4,1519.9,3124.9,1813.6,2948.3,4485.6,2220.5,1245.3,1929.4,2676.4,2239.8,1066.5
"2023-01-02 20:00:00",3942,3134.9,3431.9,1412.7,2961.4,1680.6,2777.1,4262.3,2244.6,1117.6,1768.1,2473.8,2112,1070.3
"2023-01-02 21:00:00",3812.3,2914.7,3273,1292.4,2712.9,1571.7,2633.3,3923.1,2055.7,1033.5,1577.7,2318.1,2064,1043.3
"2023-01-02 22:00:00",3473,2620.5,3064.4,1131.5,2463.5,1398.7,2353,3628.7,1852.1,898.6,1359.9,2100.8,2010.8,1001.4
