"","A","B","C","D","E","F","G","H","J","K","L","M","N","P"
"A",0,4240,5705,0,0,0,0,1653,4111,0,0,0,0,0
"B",4240,0,0,0,4139,0,0,2721,0,0,0,2720,0,0
"C",5705,0,0,0,0,0,0,349,642,0,0,0,0,0
"D",0,0,0,0,951,0,5375,0,0,0,0,0,1650,0
"E",0,4139,0,951,0,0,2498,639,0,3121,268,0,0,0
"F",0,0,0,0,0,0,333,0,0,0,0,2250,1320,0
"G",0,0,0,5375,2498,333,0,0,0,0,0,2100,1755,0
"H",1653,2721,349,0,639,0,0,0,2683,0,2656,0,0,0
"J",4111,0,642,0,0,0,0,2683,0,0,0,0,0,0
"K",0,0,0,0,3121,0,0,0,0,0,1356,0,0,0
"L",0,0,0,0,268,0,0,2656,0,1356,0,0,0,0
"M",0,2720,0,0,0,2250,2100,0,0,0,0,0,0,0
"N",0,0,0,1650,0,1320,1755,0,0,0,0,0,0,3400
"P",0,0,0,0,0,0,0,0,0,0,0,0,3400,0
