"datetime","A","B","C","D","E","F","G","H","J","K","L","M","N","P"
"2023-01-01 00:00:00",3175.6,868.8,3.5,1392.7,16.1,126.3,1168.8,14.5,2229.6,697.3,253.2,1291.2,1348.1,1345.8
"2023-01-01 01:00:00",3100.7,866.3,3.2,1321.7,16,118.4,1167.5,14.3,2166,690,249.9,1309.5,1214,1302.7
"2023-01-01 02:00:00",3016.3,844.1,3.1,1244.2,15.8,143.4,1092.2,14.3,2102.8,688.1,250.5,1309.5,1083.4,1234.5
"2023-01-01 03:00:00",3030.9,853.4,3.2,1194,16,184.6,1069.8,14.5,2072.5,684.7,250.9,1311,902.6,1038.4
"2023-01-01 04:00:00",3061.5,866.1,3.1,1164.2,15.8,181.9,1040.9,14.6,2034.2,648.8,241.4,1284,744.6,855
"2023-01-01 05:00:00",3035.4,853.3,3.1,1178.1,15.5,167.9,1052.4,14.5,2010.9,588.5,230.4,1272.3,667.5,666.9
"2023-01-01 06:00:00",2998.9,831.4,3,1207.1,15,145.9,1164.9,14.5,2002.6,596.3,220.9,1245.3,608.5,511.6
"2023-01-01 07:00:00",3013.9,824.9,3.2,1224.2,14.1,135,1312.5,13.8,2029.4,629.4,219.3,1208.3,619.1,425.1
"2023-01-01 08:00:00",3025.3,812.2,3.1,1196.1,12.6,152.8,1372.6,12.8,2033.2,607.3,210.6,1218.2,662.5,363.4
"2023-01-01 09:00:00",2917,757.5,2.7,1198.7,12.1,170.5,1385.2,12,1959.3,602.8,208,1168.2,740.2,325.6
"2023-01-01 10:00:00",2819.1,716.7,2.2,1169.3,12.1,187.7,1349.5,11.8,1860.2,632.4,205.9,1099.2,810.3,298.9
"2023-01-01 11:00:00",2793.1,720.6,2.1,1142.1,13.1,184.3,1248.8,11.4,1801.7,678.7,188.9,1096.7,797.2,267.4
"2023-01-01 12:00:00",2764,733.5,1.9,1188.2,14.6,195.6,1106.7,10.5,1766.2,652.7,153.3,1156.8,694.8,233.9
"2023-01-01 13:00:00",2637.2,720.7,1.7,1277.9,13.9,196.9,1119.4,9.3,1728.4,548.1,109.1,1176.6,559.1,217.7
"2023-01-01 14:00:00",2542.2,666.1,1.7,1322.5,11.6,181,1282.4,9,1762.7,421.3,91.6,1186.6,465.2,239.2
"2023-01-01 15:00:00",2483,584.9,1.7,1276.4,8.8,173.8,1408.9,8.4,1688.4,350,83.1,1172.4,421.5,272.5
"2023-01-01 16:00:00",2414.4,556.2,1.5,1109.5,7.2,160.6,1366.7,6.8,1542.8,309.8,81.7,1092.1,403.8,325.7
"2023-01-01 17:00:00",2304.2,551.5,1.3,879.7,6.7,150.5,1211,5.7,1274.2,285.6,80.8,988.9,500,419.6
"2023-01-01 18:00:00",2047.7,538.3,1,613.3,6.1,151.6,932.7,4.4,942.9,268.6,73.1,895.3,647.4,524.3
"2023-01-01 19:00:00",1749.5,538.5,0.7,433.2,5.4,154.6,655.6,3.3,614.3,244.5,59.3,855.3,751.5,617.4
"2023-01-01 20:00:00",1362.3,498,0.5,353.7,4.7,162,484,2.7,390.8,219.1,49,793.1,766.3,658.7
"2023-01-01 21:00:00",1054,461.3,0.5,325.2,4.5,162.4,369.8,2.5,288.7,199.7,47.5,750.6,732.3,691.3
"2023-01-01 22:00:00",892.7,426.7,0.4,304.7,4.2,144.6,327.2,2.6,266.3,187.9,51.1,716.2,726.8,723.1
"2023-01-01 23:00:00",828,397.1,0.4,323,3.9,133.7,341.1,2.7,294,175.7,51.9,672.9,769.4,801.3
"2023-01-02 00:00:00",806.9,357,0.4,350.4,3.6,132.9,375,2.8,317.9,173.5,50.7,638.8,877.8,929.4
"2023-01-02 01:00:00",746.1,319.3,0.4,363.1,3.3,133.1,401.4,2.9,316.6,182.1,49,603.1,982.4,1055.9
"2023-01-02 02:00:00",669.4,266.9,0.4,374.1,3.3,133.8,434,2.8,327.4,183.4,47.6,559.2,1005.2,1152.7
"2023-01-02 03:00:00",748.9,265.8,0.4,399.2,3.3,145.6,495.8,2.8,396.9,191.3,46.5,545.7,1005.9,1244.5
"2023-01-02 04:00:00",882,261.5,0.5,423,3.6,163.5,558.3,2.7,499.1,191.2,46.5,563.8,994.5,1265.8
"2023-01-02 05:00:00",964.3,256.9,0.5,429.1,3.8,176.6,571.2,2.6,566.3,178.1,43.5,582.5,943.5,1255.5
"2023-01-02 06:00:00",1064.4,300.1,0.5,441.3,3.9,180,540.7,2.5,611.2,148.8,38,626.9,876.6,1240.4
"2023-01-02 07:00:00",1150.2,322.8,0.5,390.8,3.7,180.4,466.5,2.2,676.5,113.2,30.6,650.6,833.1,1233
"2023-01-02 08:00:00",1270.6,357.2,0.5,311.6,3.3,176.6,377.5,2,731.3,81.2,23.6,664.8,820.4,1238.1
"2023-01-02 09:00:00",1334.1,348.8,0.4,225.1,2.6,167.5,286.2,1.7,705.8,58.2,16.2,652.3,866,1205.1
"2023-01-02 10:00:00",1320.6,304.2,0.4,156.8,1.8,144,218.2,1.4,660.1,39.4,10.9,604.4,953.3,1133.2
"2023-01-02 11:00:00",1313.3,303.3,0.5,133.2,1.5,126.1,192,1.3,648.1,39.7,10.7,605.5,1059.3,1064.2
"2023-01-02 12:00:00",1285.9,312.7,0.5,145.4,1.6,121.7,207.5,1.3,624.9,57.7,12.9,590.3,1180.6,1034.6
"2023-01-02 13:00:00",1266.7,298.1,0.5,170.8,1.8,130.7,238.1,1.3,597.2,76.5,14.2,566.1,1393.7,1075.1
"2023-01-02 14:00:00",1222.4,269.6,0.5,193.7,1.9,152.5,266.2,1.2,545.2,82.5,13.5,559.9,1581.4,1152.8
"2023-01-02 15:00:00",1184.3,256.9,0.4,203.7,2.1,188,269.9,1,520.8,84.8,13,579.2,1660.8,1179
"2023-01-02 16:00:00",1081.1,225.1,0.4,206.4,2.3,203.1,250,0.8,481.3,79.5,14.1,543.6,1605.7,1159.4
"2023-01-02 17:00:00",935,192.5,0.3,243.4,2.7,196,267.4,0.8,426.8,84.3,19.8,485.6,1591.1,1123.6
"2023-01-02 18:00:00",810.9,192.9,0.3,336.3,3.3,181.4,380.1,1,356.9,98.4,30.3,446.3,1672.7,1110.4
"2023-01-02 19:00:00",715,223.4,0.2,462.5,4,178.1,593.6,1.3,273.1,125.1,45.5,465.4,1862.4,1148.4
"2023-01-02 20:00:00",651.3,260.9,0.2,563.3,4.6,193.6,825.8,1.9,203.3,166.9,63.8,549.5,2151.1,1216.9
"2023-01-02 21:00:00",591.2,282.4,0.2,635.3,5,212.9,966.5,2.6,168,218.8,82,623.8,2413.6,1322.2
"2023-01-02 22:00:00",548.1,286.7,0.3,699.2,5.8,224.6,1034.8,3.5,171.8,274.6,99.6,639.4,2570.4,1399.3
"2023-01-02 23:00:00",540.1,288.2,0.4,774.1,6.9,223,1105.7,4.5,216.8,324.4,115.8,643.5,2671.3,1451.8
"2023-01-03 00:00:00",563.4,281.4,0.5,841,7.6,226.5,1183,5.6,302,364.2,128.6,641.9,2883.4,1551.8
"2023-01-03 01:00:00",603.4,256.5,0.8,876.3,7.5,241.4,1227.8,6.7,438.9,389.3,147.9,605.4,3045.1,1701
"2023-01-03 02:00:00",725.9,262.6,1,949.6,8.4,258.8,1267.2,7.7,640.3,460.6,181.7,603.1,3287.2,2023.1
"2023-01-03 03:00:00",949.3,292.5,1.1,1097.1,8.8,272.1,1350,8.3,875.3,461,218.5,632.1,3375.8,2146
"2023-01-03 04:00:00",1277.5,343.6,1.1,1147.2,9,286.6,1463.2,8.9,1109.1,539.9,237.8,704.8,3560.1,2424.5
